Treatment.Description,Inoculant,Genotype,N.dosages,V8.Plant.Biomass,V8.Plant.N.Concentration,V8.Plant.N.Content,VT.Plant.Moisture,VT.Plant.Biomass,VT.Plant.Biomass_kg,VT.Plant.N.Concentration,VT.Plant.N.Content_lb,VT.Plant.N.Content_kg,VT.Plant.N.Content_mg,Grain.Oil,Grain.Protein,Grain.N.concentration,Grain.Starch,Kernel.Weight..kg.kernel.,Kernel.Weight.mg.kernel.,NUE,Rep
Inbred: B73 N: 60 IF: Proven,Proven,B73,N:67,1208.51,2.43,29.33,0.832,5126.86,5746.441031,1.58,80.97,90.76737,90767.37,3.73,7.8,48.75,71.9,0.17858,178.58,5.082728749,4
Inbred: BNI NIL 1 N: 60 IF: Proven,Proven,NIL 1,N:67,1113.62,2.91,32.45,0.866,3813.57,4274.439935,1.69,64.64,72.46144,72461.44,3.28,9.3,58.125,72.1,0.17303,173.03,4.187796336,5
Inbred: BNI NIL 2 N: 60 IF: Proven,Proven,NIL 2,N:67,1291.54,3.21,41.52,0.856,4577.35,5130.522748,1.8,82.22,92.16862,92168.62,4.03,8.3,51.875,70.5,0.19898,198.98,4.632054478,6
Inbred: BNI NIL 1 N: 30 IF: Proven,Proven,NIL 1,N:34,1195.33,2.64,31.55,0.855,3651.36,4092.626856,1.27,46.28,51.87988,51879.88,3.41,7.9,49.375,72.5,0.17456,174.56,2.972037122,1
Inbred: B73 N: 30 IF: None,None,B73,N:34,835.55,2.69,22.51,0.84,4014.31,4499.439364,1.75,70.08,78.55968,78559.68,3.88,7.3,45.625,71,0.19951,199.51,3.937631196,2
Inbred: BNI NIL 2 N: 30 IF: Proven,Proven,NIL 2,N:34,1095.17,2.74,29.97,0.834,5487.92,6151.135132,1.68,92.29,103.45709,103457.09,3.72,8.3,51.875,70.7,0.19678,196.78,5.257500254,3
Inbred: B73 N: 30 IF: Proven,Proven,B73,N:34,1095.17,2.06,22.59,0.844,4133.24,4632.742054,1.26,52.21,58.52741,58527.41,3.37,7.3,45.625,72.5,0.1968,196.8,2.97395376,4
Inbred: BNI NIL 1 N: 30 IF: None,None,NIL 1,N:34,951.52,2.83,26.9,0.859,3732.75,4183.852838,1.33,49.72,55.73612,55736.12,3.51,8.9,55.625,71.2,0.19608,196.08,2.84251938,5
Inbred: BNI NIL 2 N: 30 IF: None,None,NIL 2,N:34,1200.6,2.71,32.59,0.843,4843.85,5429.229273,1.71,83,93.043,93043,3.75,8,50,71.6,0.19773,197.73,4.705558084,6
Inbred: BNI NIL 1 N: 60 IF: None,None,NIL 1,N:67,1133.39,2.66,30.13,0.859,3189.2,3574.61482,1.28,40.83,45.77043,45770.43,3.49,8.6,53.75,71.2,0.17127,171.27,2.672413733,1
Inbred: BNI NIL 2 N: 60 IF: Proven,Proven,NIL 2,N:67,1269.13,2.5,31.78,0.852,3748.88,4201.932148,1.83,68.67,76.97907,76979.07,3.57,8.9,55.625,71.6,0.19737,197.37,3.900241678,2
Inbred: B73 N: 60 IF: None,None,B73,N:67,1258.59,2.54,31.95,0.855,3730.41,4181.230049,1.58,59.11,66.26231,66262.31,3.35,7.1,44.375,72.2,0.18633,186.33,3.556180433,3
Inbred: BNI NIL 1 N: 60 IF: Proven,Proven,NIL 1,N:67,1194.01,2.25,26.88,0.854,4061.22,4552.018437,1.69,68.61,76.91181,76911.81,3.2,8.7,54.375,71.9,0.1905,190.5,4.037365354,4
Inbred: BNI NIL 2 N: 60 IF: None,None,NIL 2,N:67,1113.62,2.52,28.02,0.845,4654.23,5216.693696,1.19,55.46,62.17066,62170.66,3.83,8.1,50.625,71.1,0.18949,189.49,3.280946752,5
